ID,episode
361,20
362,40
363,20
364,20
365,20
366,16
367,16
368,40
369,16
370,17
371,103
372,20
373,16
374,10
375,24
376,16
377,16
378,22
379,92
380,36
381,48
382,12
383,3
384,51
385,120
386,16
387,16
388,20
389,30
390,32
391,16
392,20
393,15
394,10
395,6
396,12
397,16
398,16
399,12
400,16
401,129
402,4
403,9
404,16
405,20
406,16
407,48
408,16
409,20
410,167
411,123
412,17
413,16
414,12
415,32
416,16
417,32
418,130
419,128
420,100
421,12
422,16
423,16
424,12
425,40
426,16
427,16
428,32
429,20
430,50
431,5
432,16
433,15
434,8
435,20
436,41
437,64
438,135
439,16
440,20
441,20
442,16
443,18
444,16
445,50
446,156
447,16
448,16
449,16
450,16
451,16
452,10
453,32
454,16
455,32
456,16
457,16
458,108
459,8
460,12
461,51
462,16
463,8
464,8
465,12
466,104
467,16
468,24
469,18
470,16
471,12
472,24
473,60
474,20
475,16
476,16
477,20
478,20
479,20
480,16
481,32
482,50
483,124
484,16
485,16
486,52
487,52
488,50
489,20
490,16
491,16
492,155
493,2
494,16
495,16
496,32
497,16
498,164
499,1
500,16
501,32
502,10
503,16
504,32
505,120
506,129
507,130
508,140
509,129
510,163
511,128
512,120
513,134
514,150
515,121
516,128
517,14
518,12
519,20
520,10
521,121
522,24
523,24
524,6
525,21
526,12
527,24
528,18
529,12
530,100
531,16
532,16
533,20
534,16
535,16
536,16
537,103
538,16
539,2
540,32
541,12
542,40
543,16
544,18
545,14
546,12
547,16
548,12
549,16
550,16
551,16
552,16
553,16
554,64
555,16
556,172
557,16
558,12
559,30
560,12
561,18
562,8
563,16
564,40
565,170
566,16
567,24
568,16
569,16
570,9
571,16
572,10
573,16
574,16
575,8
576,16
577,16
578,150
579,124
580,10
581,5
582,20
583,40
584,18
585,169
586,101
587,8
588,20
589,120
590,30
591,8
592,10
593,104
594,103
595,32
596,16
597,32
598,71
599,120
600,20
601,18
602,16
603,16
604,16
605,17
606,16
607,3
608,16
609,16
610,10
611,496
612,40
613,122
614,24
615,20
616,105
617,50
618,16
619,24
620,16
621,16
622,16
623,16
624,16
625,50
626,16
627,120
628,20
629,17
630,32
631,38
632,15
633,20
634,16
635,151
636,10
637,16
638,16
639,32
640,16
641,16
642,32
643,16
644,16
645,16
646,4
647,16
648,16
649,20
650,103
651,20
652,16
653,12
654,256
655,100
656,16
657,16
658,16
659,21
660,12
661,12
662,16
663,36
664,20
665,122
666,66
667,24
668,16
669,6
670,12
671,50
672,6
673,16
674,20
675,20
676,16
677,16
678,20
679,16
680,108
681,126
682,20
683,10
684,20
685,16
686,16
687,20
688,24
689,18
690,20
691,16
692,32
693,20
694,40
695,16
696,55
697,24
698,16
699,16
700,131
701,51
702,119
703,16
704,52
705,36
706,8
707,10
708,5
709,52
710,80
711,26
712,12
713,16
714,58
715,24
716,40
717,20
718,40
719,16
720,16
721,50
722,21
723,10
724,16
725,16
726,136
727,8
728,20
729,106
730,16
731,24
732,6
733,32
734,16
735,13
736,32
737,16
738,32
739,54
740,16
741,16
742,103
743,12
744,16
745,4
746,12
