ID,kdrama_name,actor,genre,platform,tags,network,episode
193,Come Back Mister,"['Rain', ' Oh Yeon Seo', ' Kim In Kwon', ' Kim Soo Ro', ' Lee Min Jung', ' Lee Ha Nee']","['comedy', ' romance', ' drama', ' supernatural']","['SBS World', ' Viki']","['second chance', ' body swap', ' sismance', ' reincarnation', ' bromance', ' rags to riches', ' family secret', ' transmigration', ' melodrama', ' friendship ']",['SBS'],16
194,Confession,"['Lee Jun Ho', ' Shin Hyun Bin', ' Yoo Jae Myung', ' Nam Ki Ae', ' Yoon Gyung Ho', ' Ryu Kyung Soo']","['thriller', ' mystery', ' law', ' drama']",['N/A'],"['corruption', ' wrongfully accused', ' nice male lead', ' bromance', ' smart male lead', ' murder', ' illness', ' calm male lead', ' hardworking male lead', ' heart transplant ']",['tvN'],16
195,Connect,"['Jung Hae In', ' Go Kyung Pyo', ' Kim Hye Joon', ' Jung Dong Hoon', ' Jang Gwang']","['thriller', ' mystery']",['N/A'],"['miniseries', ' adapted from a webtoon', ' investigation', ' suspense ']",[nan],6
196,Conspiracy in the Court,"['Jin Yi Han', ' Kim Ha Eun', ' Lee Chun Hee', ' Ahn Nae Sang', ' Jung Ae Ri', ' Kim Eung Soo']","['historical', ' drama']",['N/A'],"['miniseries', ' conspiracy ']",['KBS'],8
197,"Cool Guys, Hot Ramen","['Jung Il Woo', ' Lee Chung Ah', ' Lee Ki Woo', ' Hwang Hyun Hee', ' Jo Yoon Woo', ' Jung In Ki']","['food', ' comedy', ' romance']",['Viki'],"['love triangle', ' rich manpoor woman', ' clingy male lead', ' older womanyounger man', ' heir', ' male chases female first', ' high school', ' childish male lead', ' possessive male lead', ' steamy kiss ']",['tvN'],16
198,Couple or Trouble,"['Oh Ji Ho', ' Han Ye Seul', ' Kim Sung Min', ' Kim Tae Yoon', ' Lee Seok Min', ' Kim  Jung Wook']","['comedy', ' romance']",['Viki'],"['nonmdl remake', ' enemies to lovers', ' rich womanpoor man', ' cohabitation', ' amnesia ']",['MBC'],16
199,Crash Landing on You,"['Hyun Bin', ' Son Ye Jin', ' Seo Ji Hye', ' Kim Jung Hyun', ' Yang Kyung Won', ' Lee Shin Young']","['military', ' comedy', ' romance', ' political']",['Netflix'],"['north and south korea', ' star crossed lovers', ' strong male lead', ' rich female lead', ' north korean', ' fate', ' nice male lead', ' calm male lead', ' friendship', ' smart female lead ']","['Netflix', ' tvN']",16
200,Crazy Love,"['Kim Jae Wook', ' Krystal Jung', ' Ha Joon', ' Yoo In Young', ' Im Won Hee', ' Park Han Sol']","['comedy', ' romance', ' drama']","['Disney Hotstar', ' Disney']","['enemies to lovers', ' bossemployee relationship', ' secretary female lead', ' steamy kiss', ' narcissistic male lead', ' slow burn romance', ' lovehate relationship', ' hardworking female lead', ' rich male lead', ' fake relationship ']",['KBS'],16
201,Criminal Minds,"['Lee Joon Gi', ' Son Hyun Joo', ' Moon Chae Won', ' Yoo  Sun', ' Lee Sun Bin', ' Go Yoon']","['action', ' mystery', ' drama']",['N/A'],"['dark fiction', ' murder', ' investigation', ' criminal profiler female lead', ' criminal profiler male lead', ' trauma', ' serial killer supporting character', ' criminal supporting character', ' kidnapping', ' nonmdl remake ']",['tvN'],20
202,Cross,"['Go Kyung Pyo', ' Jo Jae Hyun', ' Jeon So Min', ' Uhm Ji Sung', ' Kim Jong Goo', ' Jin Yi Han']","['thriller', ' mystery', ' medical']",['KDRAMA'],"['investigation', ' suspense', ' doctor male lead', ' death of a father', ' surgeon', ' death', ' special power', ' revenge', ' violence', ' murder ']",['tvN'],16
203,Cruel Love,"['Park Min Young', ' Song Kang', ' Yoon Park', ' Yura', ' Kim  Mi Kyung', ' Jung Woon Sun']","['romance', ' drama', ' melodrama']","['TVING', ' Netflix']","['weather forecaster', ' older womanyounger man', ' bossemployee relationship', ' secret relationship', ' smart male lead', ' teamwork', ' reporter female lead', ' office worker', ' motherdaughter relationship', ' cold female lead ']","['jTBC', ' Netflix']",16
204,Cunning Single Lady,"['Lee Min Jung', ' Joo Sang Wook', ' Seo Kang Joon', ' Kim Gyu Ri', ' Hwang Bo Ra', ' Kim Eung Soo']","['business', ' comedy', ' romance']","['Viki', ' Netflix']","['second chance romance', ' rich male lead', ' successful male lead', ' love triangle', ' second chance', ' exspouse relationship', ' flashback to past', ' workplace romance', ' childish male lead', ' oblivious male lead ']",['MBC'],16
205,Curtain Call,"['Go Doo Shim', ' Kang Ha Neul', ' Ha Ji Won', ' Sung Dong Il', ' Kwon Sang Woo', ' Jung Ji So']","['drama', ' family']",['N/A'],"['actor male lead', ' age gap drama life', ' age gap real life', ' rich female lead', ' theater', ' multiple mains', ' poor male lead ']",['KBS'],16
206,D.P.,"['Jung Hae In', ' Koo Kyo Hwan', ' Kim Sung Kyun', ' Son Seok Koo', ' Hong Kyung', ' Jo Hyun Chul']","['action', ' military', ' drama']",['Netflix'],"['military abuse', ' violence', ' bromance', ' ptsd', ' adapted from a webtoon', ' sexual assault', ' desertion', ' dark fiction', ' harassment', ' humiliation ']",['Netflix'],6
207,Dae Jang Geum,"['Shin Dong Wook', ' Kwon Yu Ri', ' Lee Yeol Eum', ' Kim Hyun Joon', ' Lee Min Hyuk', ' Jung Yi Rang']","['food', ' comedy', ' romance', ' supernatural']",['Viki'],"['entertainment industry', ' cooking', ' slow burn romance', ' bossemployee relationship', ' love triangle', ' bromance', ' youtuber male lead', ' workplace setting', ' retail clerk female lead', ' fraternal twin female lead ']",['MBC'],16
208,Dae Jang Geum Is Watching,"['Shin Dong Wook', ' Kwon Yu Ri', ' Lee Yeol Eum', ' Kim Hyun Joon', ' Lee Min Hyuk', ' Jung Yi Rang']","['food', ' comedy', ' romance', ' supernatural']",['Viki'],"['entertainment industry', ' cooking', ' slow burn romance', ' bossemployee relationship', ' love triangle', ' bromance', ' youtuber male lead', ' workplace setting', ' retail clerk female lead', ' fraternal twin female lead ']",['MBC'],16
209,Dae Jo-yeong,"['Park Ye Jin', ' Hong Soo Hyun', ' Jeong Bo Seok', ' Choi Soo Jong', ' Jun Hyun', ' Go In Beom']","['historical', ' war']",['KBS Drama Classic'],"['leadership', ' balhae dynasty', ' king male lead', ' historical fiction', ' warlord', ' royalty ']",['KBS'],134
210,Daemyeong,"['Kim Heung Ki', ' Won Mi Kyung', ' Kim Sung Won', ' Baek Il Sub', ' Kim Dong Hoon', ' Seo Woo Rim']","['historical', ' drama']",['N/A'],[nan],['KBS'],50
