kdrama_name,Episodes,ID
Little Women,12,560
Live,18,561
Live On,8,562
Live Up to Your Name,16,563
Liver or Die,40,564
Living Among the Rich,170,565
Living in Style,16,566
Lobbyist,24,567
Local Hero,16,568
Look Back in Anger,16,569
Loss Time Life,9,570
Lost,16,571
Love & Secret,10,572
Love (ft. Marriage and Divorce),16,573
Love Again,16,574
Love Alarm,8,575
Love Alert,16,576
Love All Play,16,577
Love and Obsession,150,578
Love Can't Wait,124,579
Love for a Thousand More,10,580
Love in 3 Colors,5,581
Love in Her Bag,20,582
Love in Sadness,40,583
Love in the Moonlight,18,584
Love Me When You Can,169,585
Love on a Rooftop,101,586
Love Playlist,8,587
Love Rain,20,588
Love Returns,120,589
Love Revolution,30,590
Love Scene Number,8,591
Love to Hate You,10,592
Love to the End,104,593
Love Twist,103,594
Love with Flaws,32,595
Loveholic,16,596
Lovely Horribly,32,597
Lovers,71,598
Lovers in Bloom,120,599
Lovers in Paris,20,600
Lovers in Prague,18,601
Lovers of Haeundae,16,602
Lovers of Music,16,603
Lovers of the Red Sky,16,604
Lovestruck in the City,17,605
Lucky Romance,16,606
Ma Boy,3,607
Mad Dog,16,608
Madame Antoine: The Love Therapist,16,609
Magic Cellphone,10,610
Magic Kid Masuri,496,611
Make a Woman Cry,40,612
Make Your Wish,122,613
Mama,24,614
Man from the Equator,20,615
Man in a Veil,105,616
Man in the Kitchen,50,617
Man to Man,16,618
Man Who Dies to Live,24,619
Manhole,16,620
Manny,16,621
Marriage Contract,16,622
"Marriage, Not Dating",16,623
Marry Him If You Dare,16,624
Marry Me Now,50,625
Marrying a Millionaire,16,626
Marrying My Daughter Twice,120,627
Mask,20,628
Master's Sun,17,629
Matrimonial Chaos,32,630
May Queen,38,631
"Me Too, Flower!",15,632
Medical Top Team,20,633
Melancholia,16,634
Melody of Love,151,635
Meloholic,10,636
Melting Me Softly,16,637
Memories of the Alhambra,16,638
Memorials,32,639
Memorist,16,640
Memory,16,641
Men Are Men,32,642
Mental Coach Je Gal-gil,16,643
Merry Mary,16,644
Military Prosecutor Doberman,16,645
Mimi,4,646
Mina,16,647
Mine,16,648
Misaeng: Incomplete Life,20,649
Miss Ajumma,103,650
Miss Korea,20,651
Miss Lee,16,652
Miss Mamma Mia,12,653
Miss Mermaid,256,654
Miss Monte-Cristo,100,655
Miss Panda and Mr. Hedgehog,16,656
Miss Ripley,16,657
Missing 9,16,658
Missing You,21,659
Missing: The Other Side,12,660
Mistress,12,661
Misty,16,662
Model,36,663
Modern Farmer,20,664
Mom Has an Affair,122,665
Mom's Dead Upset,66,666
Money Flower,24,667
Money Game,16,668
Money Heist: Korea – Joint Economic Area,6,669
Monstar,12,670
Monster,50,671
Monstrous,6,672
Monthly Magazine Home,16,673
Moon Embracing the Sun,20,674
Moon Lovers: Scarlet Heart Ryeo,20,675
Moonshine,16,676
Moorim School: Saga of the Brave,16,677
More Than a Maid,20,678
More Than Friends,16,679
Mother of Mine,108,680
Mother's Garden,126,681
Mouse,20,682
Move to Heaven,10,683
Moving,20,684
Mr. Back,16,685
Mr. Duke,16,686
Mr. Queen,20,687
Mr. Sunshine,24,688
Mrs. Cop,18,689
Mrs. Cop 2,20,690
Ms. Hammurabi,16,691
"Ms. Ma, Nemesis",32,692
Ms. Perfect,20,693
My Absolute Boyfriend,40,694
My Beautiful Bride,16,695
My Beloved Sister,55,696
"My Contracted Husband, Mr. Oh",24,697
My Country: The New Age,16,698
My Dangerous Wife,16,699
My Daughter the Flower,131,700
"My Daughter, Geum Sa-wol",51,701
My Dear Cat,119,702
My Fair Lady,16,703
My Father Is Strange,52,704
My Fellow Citizens!,36,705
My First First Love,8,706
My First Love,10,707
My First Time,5,708
My Golden Life,52,709
My Healing Love,80,710
My Heart Twinkle Twinkle,26,711
My Holo Love,12,712
My Horrible Boss,16,713
