ID,kdrama_name
498,Jump
499,Jungle Fish
500,Just Dance
501,Justice
502,Juvenile Justice
503,Kairos
504,My Prettiest Moments
505,A Sea of Her Own
506,Dal Soon's Spring
507,Dear My Sister
508,Eunhui
509,In Still Green Days
510,Land of Gold
511,My Mind's Flower Rain
512,Samsaengi
513,Single-minded Dandelion
514,Sunok
515,That Sun in the Sky
516,The Stars Are Shining
517,Kill Heel
518,Kill It
519,"Kill Me, Heal Me"
520,Kim Is a Genius
521,Kimchi Cheese Smile
522,Kimchi Family
523,King of Ambition
524,Kingdom
525,Kingmaker: The Change of Destiny
526,Kiss Sixth Sense
527,Kkondae Intern
528,Korean Peninsula
529,L.U.C.A.: The Beginning
530,Lady Cha Dal-rae's Lover
531,Land of Wine
532,Last
533,Late Night Restaurant
534,Law School
535,Lawless Lawyer
536,Lawyers
537,Left-Handed Wife
538,Legal High
539,Legend of Hyang Dan
540,Less Than Evil
541,Let Me Be Your Knight
542,Let Me Introduce Her
543,Let's Eat
544,Let's Eat 2
545,Let's Eat 3
546,Level Up
547,Leverage
548,Liar Game
549,Lie After Lie
550,Lie to Me
551,Life
552,Life Is Beautiful
553,Life on Mars
554,Lights and Shadows
555,Light on Me
556,Likeable or Not
557,"Link: Eat, Love, Kill"
558,Listen to Love
559,Listen to My Heart
560,Little Women
561,Live
562,Live On
563,Live Up to Your Name
564,Liver or Die
565,Living Among the Rich
566,Living in Style
567,Lobbyist
568,Local Hero
569,Look Back in Anger
570,Loss Time Life
571,Lost
572,Love & Secret
573,Love (ft. Marriage and Divorce)
574,Love Again
575,Love Alarm
576,Love Alert
577,Love All Play
578,Love and Obsession
579,Love Can't Wait
580,Love for a Thousand More
581,Love in 3 Colors
582,Love in Her Bag
583,Love in Sadness
584,Love in the Moonlight
585,Love Me When You Can
586,Love on a Rooftop
587,Love Playlist
588,Love Rain
589,Love Returns
590,Love Revolution
591,Love Scene Number
592,Love to Hate You
593,Love to the End
594,Love Twist
595,Love with Flaws
596,Loveholic
597,Lovely Horribly
598,Lovers
599,Lovers in Bloom
600,Lovers in Paris
601,Lovers in Prague
602,Lovers of Haeundae
603,Lovers of Music
604,Lovers of the Red Sky
605,Lovestruck in the City
606,Lucky Romance
607,Ma Boy
608,Mad Dog
609,Madame Antoine: The Love Therapist
610,Magic Cellphone
611,Magic Kid Masuri
612,Make a Woman Cry
613,Make Your Wish
614,Mama
615,Man from the Equator
616,Man in a Veil
617,Man in the Kitchen
618,Man to Man
619,Man Who Dies to Live
620,Manhole
621,Manny
622,Marriage Contract
623,"Marriage, Not Dating"
624,Marry Him If You Dare
625,Marry Me Now
626,Marrying a Millionaire
627,Marrying My Daughter Twice
628,Mask
629,Master's Sun
630,Matrimonial Chaos
631,May Queen
632,"Me Too, Flower!"
633,Medical Top Team
634,Melancholia
635,Melody of Love
636,Meloholic
637,Melting Me Softly
638,Memories of the Alhambra
639,Memorials
640,Memorist
641,Memory
642,Men Are Men
643,Mental Coach Je Gal-gil
644,Merry Mary
645,Military Prosecutor Doberman
646,Mimi
647,Mina
648,Mine
649,Misaeng: Incomplete Life
650,Miss Ajumma
651,Miss Korea
652,Miss Lee
653,Miss Mamma Mia
654,Miss Mermaid
655,Miss Monte-Cristo
656,Miss Panda and Mr. Hedgehog
657,Miss Ripley
658,Missing 9
659,Missing You
660,Missing: The Other Side
661,Mistress
662,Misty
663,Model
664,Modern Farmer
665,Mom Has an Affair
666,Mom's Dead Upset
667,Money Flower
668,Money Game
669,Money Heist: Korea – Joint Economic Area
670,Monstar
671,Monster
672,Monstrous
673,Monthly Magazine Home
674,Moon Embracing the Sun
675,Moon Lovers: Scarlet Heart Ryeo
676,Moonshine
677,Moorim School: Saga of the Brave
678,More Than a Maid
679,More Than Friends
680,Mother of Mine
681,Mother's Garden
682,Mouse
683,Move to Heaven
684,Moving
685,Mr. Back
686,Mr. Duke
687,Mr. Queen
688,Mr. Sunshine
689,Mrs. Cop
690,Mrs. Cop 2
691,Ms. Hammurabi
692,"Ms. Ma, Nemesis"
693,Ms. Perfect
694,My Absolute Boyfriend
695,My Beautiful Bride
696,My Beloved Sister
697,"My Contracted Husband, Mr. Oh"
698,My Country: The New Age
699,My Dangerous Wife
700,My Daughter the Flower
701,"My Daughter, Geum Sa-wol"
702,My Dear Cat
